date,Open,High,Low,Close,Volume
2021-09-10,139.86,140.02,136.52,136.66,8311551.0
2021-09-13,137.83,139.35,137.37,139.16,10052807.0
2021-09-14,139.75,140.64,135.56,136.37,11685606.0
2021-09-15,136.02,137.99,135.77,137.46,11691485.0
2021-09-16,138.71,140.15,136.52,137.39,10880895.0
2021-09-17,136.68,138.31,136.3,136.98,25608018.0
2021-09-20,133.19,133.86,129.79,132.26,15819905.0
2021-09-21,132.83,133.85,131.88,132.28,8999860.0
2021-09-22,134.5,136.55,134.4,135.21,11236150.0
2021-09-23,137.3,141.01,136.97,140.48,12336136.0
2021-09-24,140.74,142.89,140.12,142.34,10102432.0
2021-09-27,144.3,146.7,143.91,146.28,13220871.0
2021-09-28,147.0,148.6,144.96,145.38,13387886.0
2021-09-29,145.51,146.2,144.34,145.25,7777078.0
2021-09-30,146.22,146.29,142.09,142.99,13168016.0
2021-10-01,143.3,147.6,142.9,146.43,11284976.0
2021-10-04,146.27,149.74,145.03,146.25,14120044.0
2021-10-05,147.51,150.44,146.97,148.96,12292877.0
2021-10-06,148.29,149.4,146.3,149.32,8692607.0
2021-10-07,151.5,151.81,149.84,150.39,10195443.0
2021-10-08,150.32,151.64,149.6,150.52,8190144.0
2021-10-11,151.1,151.59,146.76,146.94,12154737.0
2021-10-12,146.05,146.99,145.07,145.66,13032633.0
2021-10-13,144.37,145.71,140.9,141.3,22753485.0
2021-10-14,142.05,144.31,140.36,143.77,15180727.0
2021-10-15,145.65,147.47,144.44,146.91,14267441.0
2021-10-18,146.78,148.91,146.21,146.85,12672909.0
2021-10-19,147.7,148.95,146.88,148.87,8053949.0
2021-10-20,148.6,151.17,147.76,151.14,8185565.0
2021-10-21,151.06,151.63,148.98,149.8,8415166.0
2021-10-22,150.33,152.39,150.0,152.08,8817895.0
2021-10-25,153.01,153.26,150.78,151.24,10159202.0
2021-10-26,151.3,152.79,150.84,151.7,8015067.0
2021-10-27,150.62,151.0,147.64,148.13,9846993.0
2021-10-28,148.6,150.81,148.26,150.66,7212937.0
2021-10-29,151.48,152.54,149.69,150.19,8140070.0
2021-11-01,152.34,152.63,149.31,150.1,7435507.0
2021-11-02,150.1,151.99,149.22,150.77,7173754.0
2021-11-03,150.43,151.43,149.45,150.83,8402685.0
2021-11-04,150.3,150.5,146.79,148.59,9574152.0
2021-11-05,149.2,150.39,147.71,148.35,7975570.0
2021-11-08,149.35,151.22,149.04,149.36,6413707.0
